[2025-09-11 14:38:38] INFO keshe.middleware: API Request: {'url': '/api/payments/api/list/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:38:38] INFO keshe.middleware: API Response: {'url': '/api/payments/api/list/', 'method': 'GET', 'status_code': 200, 'duration_ms': 3.99, 'user': '测试用户(testuser)'}
[2025-09-11 14:39:01] INFO keshe.middleware: API Request: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:39:01] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:39:39] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/profile/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:39:39] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/profile/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:39:59] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/login/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:40:00] INFO keshe.middleware: API Response: {'url': '/api/accounts/api/login/', 'method': 'POST', 'status_code': 200, 'duration_ms': 553.45, 'user': '测试用户(testuser)'}
[2025-09-11 14:40:00] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/profile/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:40:00] INFO keshe.middleware: API Response: {'url': '/api/accounts/api/profile/', 'method': 'GET', 'status_code': 200, 'duration_ms': 5.98, 'user': '测试用户(testuser)'}
